siren,nic,siret,trancheEffectifsEtablissement,etablissementSiege,categorieJuridiqueUniteLegale,denominationUniteLegale,activitePrincipaleUniteLegale,trancheEffectifsUniteLegale,categorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,caractereEmployeurEtablissement,naf.niv4,naf.niv3,naf.niv2,sectionActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,libelleActivitePrincipaleUniteLegale,tranche_ca_millesime_1,tranche_ca_millesime_2,tranche_ca_millesime_3,CA,nom_zone_d_activite
497710004,00043,49771000400043,,true,5499,KNIPPER & PARTENAIRES,70.22Z,02,PME,,10,RUE,DES HERONS,67960,ENTZHEIM,,67124,,,,MBA CAPITAL,70.22Z,N,70.22,70.2,70,M,"Activités spécialisées, scientifiques et techniques",Conseil pour les affaires et autres conseils de gestion,A - de 32K,A - de 32K,A - de 32K,,aeroparc
499457422,00024,49945742200024,01,true,5499,THL CONCEPT,70.22Z,01,PME,,2,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,70.22Z,O,70.22,70.2,70,M,"Activités spécialisées, scientifiques et techniques",Conseil pour les affaires et autres conseils de gestion,,,,,aeroparc
499742666,00047,49974266600047,,false,5499,ALPINISTES DU BATIMENT,81.29B,02,PME,,12,ALL,DES FORGERONS,67960,ENTZHEIM,,67124,,,,,81.29B,O,81.29,81.2,81,N,Activités de services administratifs et de soutien,Autres activités de nettoyage n.c.a.,,,,,aeroparc
500066642,00041,50006664200041,,false,5499,TERRE ET DEVELOPPEMENT,68.10Z,01,ETI,,1,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,68.10Z,O,68.10,68.1,68,L,Activités immobilières,Activités des marchands de biens immobiliers,,,,,aeroparc
500916721,00037,50091672100037,,false,5499,RUBBERSOLUTIONS,46.73A,11,PME,,12,ALL,DES FORGERONS,67960,ENTZHEIM,,67124,,,EPDMSOLUTIONS,EPDMSOLUTIONS,46.73A,N,46.73,46.7,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,,,,aeroparc
502050313,00035,50205031300035,11,true,5499,LTI SOFTINVEST,58.29C,11,ETI,IMMEUBLE LE MILLENIUM,9,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,58.29C,O,58.29,58.2,58,J,Information et communication,Édition de logiciels applicatifs,,,,,aeroparc
502453657,00038,50245365700038,02,true,5499,ALLIANCE INFORMATIQUE SARL,62.02A,02,PME,LOTIS. LES TERRES DE LA CHAPELLE 3,15,RUE,DU CORDONNIER,67960,ENTZHEIM,,67124,,,,,62.02A,O,62.02,62.0,62,J,Information et communication,Conseil en systèmes et logiciels informatiques,,,,,aeroparc
502707664,00111,50270766400111,,false,5710,RED ON DEMAND,70.22Z,11,PME,ZAC AEROPARC,23,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,62.02A,N,70.22,70.2,70,M,"Activités spécialisées, scientifiques et techniques",Conseil pour les affaires et autres conseils de gestion,,,,,aeroparc
503882011,00011,50388201100011,12,true,5499,DIGEL FRANCE,47.71Z,21,PME,,1,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,46.19B,O,47.71,47.7,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'habillement en magasin spécialisé,,,,,aeroparc
505250126,00016,50525012600016,02,true,5499,FILCON EUROPE,46.76Z,02,PME,LE NEOS,1,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,46.76Z,O,46.76,46.7,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires,,,,,aeroparc
