siret,siren,denominationUniteLegale,localisation,trancheEffectifsEtablissement,libelleActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,CA,latitude,longitude,trancheEffectifsEtablissementNum
51952305400020,519523054,POIVRE SEL & BOUT'CHOU,Aéroparc,12,Restauration collective sous contrat,Hébergement et restauration,E + d 1M,48.539349,7.648691,35
52028311000085,520283110,ATALIAN PROPRETE EST,Aéroport/Hangenbieten,32,Nettoyage courant des bâtiments,Activités de services administratifs et de soutien,E + d 1M,48.554761,7.617754,375
52126985200021,521269852,HD FINANCES,Plaine de la Bruche,11,Activités des sociétés holding,Activités financières et d'assurance,A - de 32K,48.542948,7.5869,15
52411528400019,524115284,DBH-SERVICES,Aéroparc,12,Réparation d'équipements de communication,Autres activités de services,Inconnu,48.541913,7.649114,35
52886295600018,528862956,AEROPORT DE STRASBOURG-ENTZHEIM,Aéroport/Hangenbieten,21,Services auxiliaires des transports aériens,Transports et entreposage,E + d 1M,48.54601,7.62522,75
52898842100020,528988421,ARNAUD CHAMLEY,Aéroparc,11,Travaux de couverture par éléments,Construction,A - de 32K,48.541465,7.649237,15
53166571900021,531665719,CALLISTO INGENIERIE,Aéroport/Hangenbieten,11,"Ingénierie, études techniques","Activités spécialisées, scientifiques et techniques",A - de 32K,48.54601,7.62522,15
53925670100035,539256701,ALARA EXPERTISE,Aéroport/Hangenbieten,12,"Activités spécialisées, scientifiques et techniques diverses","Activités spécialisées, scientifiques et techniques",Inconnu,48.54601,7.62522,35
54562011400714,545620114,CIE INDUSTRIELLE APPLICATIONS THERMIQUES,Aéroparc,11,Fabrication d'équipements aérauliques et frigorifiques industriels,Industrie manufacturière,Inconnu,48.539883,7.654867,15
55208853601287,552088536,BOLLORE LOGISTICS,Village-ENTZHEIM,11,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.533251,7.635128,15
55850146600293,558501466,QUONEX GRAND EST,Aéroparc,12,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",Industrie manufacturière,Inconnu,48.54381,7.651484,35
57219918000082,572199180,EDARD,Plaine de la Bruche,12,Fabrication d'emballages métalliques légers,Industrie manufacturière,Inconnu,48.540548,7.568901,35
57850221300049,578502213,STREB & WEIL,Plaine de la Bruche,12,Fabrication d'autres machines d'usage général,Industrie manufacturière,E + d 1M,48.540563,7.566656,35
58295030900051,582950309,BONGARD,Joffre,22,Fabrication de fours et brûleurs,Industrie manufacturière,E + d 1M,48.560105,7.646659,150
58850123900028,588501239,ENTREPRISE DE CONSTRUCTIONS HIRSCHNER,Joffre,21,Construction d'autres bâtiments,Construction,E + d 1M,48.562115,7.647942,75
58850290600088,588502906,SOCIETE DES USINES QUIRI & CIE,Plaine de la Bruche,22,Fabrication d'équipements hydrauliques et pneumatiques,Industrie manufacturière,E + d 1M,48.543163,7.572067,150
58850375500021,588503755,EIFFAGE ENERGIE SYSTEMES - LOHNER,Plaine de la Bruche,12,Travaux d'installation d'équipements thermiques et de climatisation,Construction,E + d 1M,48.538189,7.590119,35
59205130400463,592051304,AGILITY,Aéroparc,11,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.544573,7.656317,15
61850007800018,618500078,KIEHL FRERES,Plaine de la Bruche,12,Transports routiers de fret interurbains,Transports et entreposage,E + d 1M,48.537302,7.591373,35
62205260300587,622052603,RENTOKIL INITIAL,Joffre,12,"Désinfection, désinsectisation, dératisation",Activités de services administratifs et de soutien,E + d 1M,48.558064,7.652309,35
63850185800036,638501858,SPECIALITES EUROPEENNES DE VULCANISATION,Aéroport/Hangenbieten,11,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.54601,7.62522,15
63850304500053,638503045,LOHR SA,Village-HANGENBIETEN,11,Activités des sociétés holding,Activités financières et d'assurance,Inconnu,48.558487,7.617122,15
65202396100442,652023961,AVIS LOCATION DE VOITURES,Aéroport/Hangenbieten,11,Location de courte durée de voitures et de véhicules automobiles légers,Activités de services administratifs et de soutien,E + d 1M,48.54601,7.62522,15
67558059100013,675580591,WOLFF ET COMPAGNIE SOCIETE ANONYME,Village-ERNOLSHEIM-BRUCHE,12,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,Commerce ; réparation d'automobiles et de motocycles,Inconnu,48.562325,7.565339,35
67668003600040,676680036,PFERD RUGGEBERG FRANCE,Plaine de la Bruche,12,Commerce de gros (commerce interentreprises) de machines-outils,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.547145,7.5679,35
67850059600039,678500596,SOC INTERNATIONALE FOURNITURES AUTOS,Aéroport/Hangenbieten,11,Fabrication d'autres articles en caoutchouc,Industrie manufacturière,Inconnu,48.54601,7.62522,15
